


cabai rawit hijau,Rp.16.000/kg
cabai rawit merah,Rp.23.500/kg


komoditas,harga
beras,Rp.10.500/kg
bawang merah ukuran sedang,Rp.31.000/kg
bawang putih ukuran sedang,Rp.30.000/kg
cabai merah besar,Rp.25.000/kg
cabai rawit hijau,Rp.35.000/kg
cabai rawit merah,Rp.40.000/kg


komoditas,harga
beras,Rp.10.500/kg
bawang merah ukuran sedang,Rp.16.000/kg
bawang putih ukuran sedang,Rp.15.000/kg
cabai merah besar,Rp.25.000/kg
cabai rawit hijau,Rp.6.000/kg
cabai rawit merah,Rp.16.000/kg


komoditas,harga
beras,Rp.8.500/kg
bawang merah ukuran sedang,Rp.16.000/kg
bawang putih ukuran sedang,Rp.15.000/kg
cabai merah besar,Rp.25.000/kg
cabai rawit hijau,Rp.6.000/kg
cabai rawit merah,Rp.16.000/kg


komoditas,harga
beras,Rp.8.500/kg
bawang merah ukuran sedang,Rp.16.000/kg
bawang putih ukuran sedang,Rp.15.000/kg
cabai merah besar,Rp.25.000/kg
cabai rawit hijau,Rp.6.000/kg
cabai rawit merah,Rp.16.000/kg


komoditas,harga
beras,Rp.8.500/kg
bawang merah ukuran sedang,Rp.16.000/kg
bawang putih ukuran sedang,Rp.15.000/kg
cabai merah besar,Rp.20.000/kg
cabai rawit hijau,Rp.6.000/kg
cabai rawit merah,Rp.16.000/kg


komoditas,harga
beras,Rp.10.500/kg
bawang merah ukuran sedang,Rp.30.000/kg
bawang putih ukuran sedang,Rp.22.000/kg
cabai merah besar,Rp.30.000/kg
cabai rawit hijau,Rp.30.000/kg
cabai rawit merah,Rp.40.000/kg


komoditas,harga
beras,Rp.11.500/kg
bawang merah ukuran sedang,Rp.37.000/kg
bawang putih ukuran sedang,Rp.28.000/kg
cabai merah besar,Rp.50.000/kg
cabai rawit hijau,Rp.45.000/kg
cabai rawit merah,Rp.50.000/kg


komoditas,harga
beras,Rp.11.500/kg
bawang merah ukuran sedang,Rp.35.000/kg
bawang putih ukuran sedang,Rp.23.000/kg
cabai merah besar,Rp.37.000/kg
cabai rawit hijau,Rp.40.000/kg
cabai rawit merah,Rp.45.000/kg


komoditas,harga
beras,Rp.11.500/kg
bawang merah ukuran sedang,Rp.33.500/kg
bawang putih ukuran sedang,Rp.26.500/kg
cabai merah besar,Rp.31.000/kg
cabai rawit hijau,Rp.31.000/kg
cabai rawit merah,Rp.49.000/kg



























